#Table1
objid,ra,dec,magnitude,redshift
1237667444585201702,194.146630819601,28.275457472547,15.60362,0.02433419
1237665441515503847,194.173335111316,29.3780142457407,19.99405,0.2912834
1237667442974654524,194.181323733689,27.1787951884456,13.73467,0.02531029
1237667448344084638,194.194524648348,25.4980717270915,16.41892,0.0779899
1237667910596887333,194.200203280309,24.0638908278791,21.88181,0.5427652
1237665440978698316,194.202284510222,28.8931500052141,18.10491,0.06843668
1237667324334833841,195.629267996722,28.1454476396348,18.41389,0.161861
1237667442975244767,195.653366450054,26.9834310791938,20.88996,0.1974575
1237667322724287318,195.682972602017,26.6856364342071,21.91535,0.5141711
1237667442973344099,190.885549375089,27.2975227497561,17.10359,0.0194863
1237667323259322541,190.917221542869,27.5720964399951,21.49055,0.536806
1237667252944634348,191.618606591382,28.8051972785819,22.30516,0.6726584
1237667321648972409,191.635817411864,26.1801535731433,21.93906,0.5301404
1237667444584284234,191.654212347981,28.429223889712,17.53985,0.09980827
1237667323260633201,194.352953184937,27.3552109803749,16.6937,0.06849848
1237667441899929773,191.533359333129,26.3425939462975,18.02223,0.08962136
1237667442973605970,191.540018505403,27.2470383990251,18.17904,0.02635823
1237665441515897191,195.139648853336,29.3733481874818,21.62025,0.5213125
1237665442052702678,195.049807367249,29.8055014398733,21.74225,0.5139832
1237667448881348745,195.085062650269,25.7692975220899,20.153,0.3130894
1237665440979550284,196.526871935294,28.7017643622506,16.76401,0.01854661
1237667324334178753,193.899442551159,28.0989094265027,22.29357,0.5211819
1237667447806296704,191.83155650436,25.1882294288044,22.67277,0.5407513
1237667912208154727,195.765518556445,25.0409223997336,18.35797,0.09172621
1237667441901568512,195.765755560672,26.2092862867053,22.21189,0.6094634
1237667441900781713,193.775818528296,26.3161173920385,17.47296,0.08016583
1237667448343954045,193.789156168598,25.4630754989488,22.43468,0.6288277
1237667323260436580,193.797843819105,27.3363431637541,18.36884,0.1991314
1237667912207368629,193.802090424715,25.2659581945439,21.87028,0.5071471
1237667444585071659,193.811182751743,28.3175795937858,23.09904,0.6276479
1237667323797308455,193.83405444247,27.7914694660607,22.65652,0.611723
1237667448343954177,193.835950421927,25.4830363391782,22.37715,0.4674851
1237667444048724366,195.171538421712,27.8950001938905,17.12972,0.0609777
1237667443511919042,195.173066392999,27.416572472815,21.1522,0.460778
1237667448344739984,195.826655889995,25.2898457145307,16.81092,0.07132494
1237667324334899966,195.830432785392,27.999831457777,21.50345,0.4360879
