#Table1
ra,dec,l,b,u,g,r,i,z,redshift
188.851791118595,5.04829089862911,292.408803228517,67.5918417510867,16.97915,16.38097,16.04465,16.17276,16.06269,0.006063128
184.529993525316,5.93054525592331,280.941274046859,67.3686521209069,17.39194,16.76514,16.52402,16.55317,16.47581,0.006126915
238.608469158557,48.0587503704925,76.1167384995857,48.9605249438127,18.64234,17.64476,17.22542,17.03482,16.92393,0.01774534
238.562791299844,47.6049715606755,75.4551290074297,49.0971683141803,18.67976,17.34196,16.74599,16.42275,16.22256,0.01986619
171.979484888283,61.6263814714596,139.194869833485,52.784962928309,18.26366,17.51938,17.08926,17.03906,16.94843,0.007626097
190.14796650915,63.3498735703016,124.987750607532,53.7352092625484,16.25852,15.14173,14.80717,14.62389,14.63798,0.008777149
200.153636195402,-2.2893360766631,317.518815392687,59.7534776027906,15.92046,14.23454,13.4258,13.02178,12.7368,0.0193091
220.434858254115,-1.80700005859269,349.892889901976,50.7250531414124,17.13365,15.71225,15.21982,14.9699,15.13253,0.006147183
204.706057638962,-1.69381993092104,326.41177187554,59.0006309855964,17.78091,16.53362,16.06845,15.85676,15.72399,0.01167443
220.462223190046,-1.39239713147394,350.354862982333,51.0211251784591,17.37965,16.12557,15.65075,15.39279,15.28091,0.006022938
356.716135695266,14.4806882019777,100.328801519494,-45.5380021301031,17.7242,16.30591,15.69486,15.41907,15.18622,0.01961173
347.986277647266,14.4133405334561,89.717838854327,-41.9527131367157,18.72415,17.75285,17.49033,17.40829,17.37845,0.01593897
342.279886432499,-9.63872986471935,58.3183704955367,-56.2780841374102,18.58385,17.58931,17.21932,17.04208,16.87849,0.01969972
329.057742360619,-1.16200481234112,57.1303683421683,-40.6512359349004,18.04492,17.12014,16.78458,16.6492,16.47188,0.01610058
329.076773066641,-1.17316261217684,57.1330668920943,-40.6731978283376,17.05437,15.44002,14.80813,14.49951,14.38562,0.01606884
334.145313585952,-0.722166116097444,61.7838363504611,-44.4371855130428,19.04299,17.86243,17.47019,17.29978,17.23383,0.01604623
25.7471186694349,0.360115843125933,149.292287120067,-59.8467883211411,18.56245,17.78157,17.63461,17.34834,17.54719,0.01079426
178.868099655476,57.6644294260631,137.019617023592,57.9069971213518,17.29607,16.4076,16.72217,17.20703,17.21596,0.01726196
197.332295717102,0.883703201622105,312.963219423258,63.4063904638934,19.3412,17.65103,16.94789,16.61171,16.35513,0.01846604
145.320931652301,0.771110880884512,234.784326594352,37.3662502140779,18.86915,17.73447,17.25329,17.0395,16.85552,0.00658949
173.090968496633,0.804642388541868,263.861016715193,57.5498436631198,15.59171,14.27013,13.50613,13.23826,13.10514,0.0199593
182.016508135745,0.697575610320733,279.64154115256,61.5923068040414,17.12202,16.03679,15.68254,15.48758,15.33975,0.01966596
182.629706020971,0.672774881551943,280.873765434389,61.7793963879442,19.54201,17.58796,16.75282,16.36253,16.04132,0.01996788
227.267876121867,0.82198943785948,0.18501223556035,47.7939645278623,17.6729,16.51644,15.90993,15.61514,15.41584,0.005489794
178.765254288831,-3.50346228683454,276.81665645808,56.4825721279732,18.63895,17.80709,17.49026,17.33144,17.32883,0.004716692
197.275574770153,-2.64294817714084,311.761019927812,59.925581753263,18.02364,17.23085,16.93869,16.81637,16.81699,0.01300863
179.599087886656,-2.27736843993598,277.353987661812,57.9358915532351,15.36537,13.79255,12.9453,12.55322,12.27121,0.01967316
179.611282879081,-3.54251225691398,278.262222378411,56.769383485244,18.07933,17.48497,17.28125,17.21456,17.09997,0.01834186
173.090839577647,-2.434554724113,267.015277420366,54.826520804285,18.93887,17.67075,17.30021,17.1077,17.06922,0.01608622
